OBJECTID,NAME,PARK_NAME,ADDRESS_911,ZIP_CODE,POOL_TYPE,POOL_STATUS,COMMENTS,DATE_INSTALLED,DATA_SOURCE
1,Fox Chase Pool,Fox Chase Recreation Center,7901 RIDGEWAY ST,19111,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
2,Mitchell Pool,Thomas Mitchell Memorial Playground,3600 WHITEHALL LN,19114,OUTDOOR,ACTIVE,,2012/01/01 00:00:00+00,"Capital 2019; Finder"
3,Jardel Pool,Thomas E. Jardel Memorial Field,1400 COTTMAN AVE,19111,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
4,Jacobs Pool,George Jacobs Playground,4500 LINDEN AVE,19136,OUTDOOR,ACTIVE,,,"Aquatics 2019; Finder"
5,Morris Estates Pool,Morris Estate Cultural Center,1610 CHELTEN AVE,19141,OUTDOOR,ACTIVE,Emergency access is from Chelten around the building.,,"Finder; Administration"
6,Lawncrest Pool,Lawncrest Recreation Center,459 COMLY ST,19111,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
7,Lincoln Pool,Lincoln Pool,7437 ROWLAND AVE,19136,INDOOR,ACTIVE,Owned by School District of Philadelphia,,"Aquatics 2019; Finder"
8,Belfield Pool,Belfield Recreation Center,2112 CONLYN ST,19138,OUTDOOR,ACTIVE,Emergency access is from Conlyn up the driveway.,,"Finder; Previous GIS Data"
9,Max Myers Pool,Max Myers Playground,1805 HELLERMAN ST,19149,OUTDOOR,ACTIVE,Emergency access is from the stairs between tennis and baseball fields on Hellerman st,2018/01/01 00:00:00+00,"Capital 2019; Finder"
10,Murphy Pool,Lawrence E. Murphy Recreation Center,2614 S 3RD ST,19148,OUTDOOR,ACTIVE,Emergency access along walkway to gate.,,"Finder; Previous GIS Data"
11,Barry Pool,Commodore John Barry Playground,2836 S 18TH ST,19145,OUTDOOR,ACTIVE,Emergency access from walkway between recreation buildings at S 18th St and Barbara St .,,"Finder; Previous GIS Data"
12,Samuel Pool,Samuel Recreation Center,3539 GAUL ST,19134,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
13,Waterloo Pool,Waterloo Playground,2538 WATERLOO ST,19133,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
14,Mander Pool,Joseph E. Mander Playground,2142 N 33RD ST,19132,OUTDOOR,ACTIVE,Located within East Fairmount Park,2016/01/01 00:00:00+00,"Capital 2019; Finder"
15,Gathers Pool,"Eric W. (Hank) Gathers, Jr. Center",2517 DIAMOND ST,19121,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
16,Cherashore Pool,A. Albert Cherashore Playground,933 W OLNEY AVE,19141,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
17,Ziehler Pool,Ziehler Playground,5530 B ST,19120,OUTDOOR,ACTIVE,Emergency access through fence gate in front of building.,,"Finder; Previous GIS Data"
18,Hillside Pool,Hillside Recreation Center,201 FOUNTAIN ST,19127,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
19,Kendrick Pool,W. Freeland Kendrick Recreation Center,5890 RIDGE AVE,19128,OUTDOOR,ACTIVE,"Enclosed with brick, not chainlink",,"Finder; Previous GIS Data"
20,Feltonville Pool,Feltonville Recreation Center,4727 ELLA ST,19120,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
21,American Legion Pool,American Legion Playground,4819 DEVEREAUX AVE,19135,OUTDOOR,ACTIVE,Emergency access is through basketball court.,2016/01/01 00:00:00+00,"Capital 2019; Finder"
22,Hunting Pool,Hunting Park,1101 W HUNTING PARK AVE,19140,OUTDOOR,ACTIVE,Emergency access is next to Hunting Park Recreation Center,,"Finder; Previous GIS Data"
23,Penrose Pool,Penrose Playground,1145 W SUSQUEHANNA AVE,19133,OUTDOOR,ACTIVE,Emergency access is through site's main gate.,,"Finder; Previous GIS Data"
24,Cohocksink Pool,Cohocksink Recreation Center,2901 CEDAR ST,19134,OUTDOOR,ACTIVE,Emergency access is through site's main gate.,,"Finder; Previous GIS Data"
25,Amos Pool,Fletcher B. Amos Playground,1835 N 16TH ST,19121,OUTDOOR,ACTIVE,,2013/01/01 00:00:00+00,"Capital 2019; Finder"
26,Cione Pool,Frederick Cione Playground,2608 ARAMINGO AVE,19125,OUTDOOR,ACTIVE,,2016/01/01 00:00:00+00,"Capital 2019; Finder"
27,Martin Luther King Pool,Martin Luther King Recreation Center,1717 N 22ND ST,19121,OUTDOOR,ACTIVE,,2014/01/01 00:00:00+00,"Capital 2019; Finder"
28,Kelly Pool,West Fairmount Park,4216 LANSDOWNE DR,19131,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
29,Athletic Pool,Athletic Recreation Center,1410 N 26TH ST,19121,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
30,Carousel House Pool,West Fairmount Park,4620 AVENUE OF THE REPUBLIC,19131,INDOOR,ACTIVE,,,"Finder; Previous GIS Data"
31,Dendy Pool,Marie Dendy Recreation Center,960 W OXFORD ST,19122,OUTDOOR,ACTIVE,,2016/01/01 00:00:00+00,"Capital 2019; Finder"
32,Schmidt Pool,Schmidt Playground,113 W ONTARIO ST,19140,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
33,Scanlon Pool,Scanlon Recreation Center,3510 J ST,19134,OUTDOOR,ACTIVE,,,"Finder; Previous GIS Data"
34,Shuler Pool,Shuler Playground,3030 N 27TH ST,19132,OUTDOOR,ACTIVE,Emergency access is through site's main gate.,,"Finder; Previous GIS Data"
35,McVeigh Pool,Sergeant John J. McVeigh Recreation Center,3390 D ST,19134,OUTDOOR,ACTIVE,Emergency access is from D St entrance to Recreation Center.,,"Finder; Previous GIS Data"
36,Bridesburg Pool,Bridesburg Recreation Center,2825 BUCKIUS ST,19137,OUTDOOR,ACTIVE,Emergency access is between tennis court and basketball court.,2015/01/01 00:00:00+00,"Aquatics 2019; Capital 2019"
37,Heitzman Pool,Robert T. Heitzman Recreation Center,3645 AMBER ST,19134,OUTDOOR,ACTIVE,Emergency access is next to Robert T. Heitzman Recreation Center,,"Finder; Previous GIS Data"
38,12th and Cambria Pool,12th and Cambria Playground,1135 W CAMBRIA ST,19133,OUTDOOR,ACTIVE,Emergency access from ramp next to baseball diamond,2011/01/01 00:00:00+00,"Capital 2019; Finder"
